Win Rate,Drafts,Packs,Starting Gems,Format
0.57,31,111,15000,Competetive
0.57,22,66,15000,Sealed
0.57,50,68,15000,Quick
0.57,37,140,15000,Competetive
0.57,16,48,15000,Sealed
0.57,45,61,15000,Quick
0.57,47,183,15000,Competetive
0.57,18,54,15000,Sealed
0.57,44,57,15000,Quick
0.57,18,49,15000,Competetive
0.57,18,54,15000,Sealed
0.57,57,83,15000,Quick
0.57,30,108,15000,Competetive
0.57,21,63,15000,Sealed
0.57,51,72,15000,Quick
0.57,24,83,15000,Competetive
0.57,19,57,15000,Sealed
0.57,42,61,15000,Quick
0.57,27,90,15000,Competetive
0.57,22,66,15000,Sealed
0.57,48,61,15000,Quick
0.57,25,86,15000,Competetive
0.57,20,60,15000,Sealed
0.57,56,80,15000,Quick
0.57,45,175,15000,Competetive
0.57,15,45,15000,Sealed
0.57,40,52,15000,Quick
0.57,21,66,15000,Competetive
0.57,22,66,15000,Sealed
0.57,45,61,15000,Quick
0.57,17,46,15000,Competetive
0.57,27,81,15000,Sealed
0.57,47,66,15000,Quick
0.57,33,119,15000,Competetive
0.57,21,63,15000,Sealed
0.57,58,85,15000,Quick
0.57,72,298,15000,Competetive
0.57,14,42,15000,Sealed
0.57,45,60,15000,Quick
0.57,44,171,15000,Competetive
0.57,21,63,15000,Sealed
0.57,51,72,15000,Quick
0.57,25,81,15000,Competetive
0.57,29,87,15000,Sealed
0.57,69,102,15000,Quick
0.57,41,156,15000,Competetive
0.57,12,36,15000,Sealed
0.57,49,62,15000,Quick
0.57,19,57,15000,Competetive
0.57,21,63,15000,Sealed
0.57,57,79,15000,Quick
0.57,20,63,15000,Competetive
0.57,21,63,15000,Sealed
0.57,44,61,15000,Quick
0.57,26,87,15000,Competetive
0.57,15,45,15000,Sealed
0.57,70,102,15000,Quick
0.57,36,134,15000,Competetive
0.57,29,87,15000,Sealed
0.57,51,72,15000,Quick
0.57,43,162,15000,Competetive
0.57,18,54,15000,Sealed
0.57,46,64,15000,Quick
0.57,31,111,15000,Competetive
0.57,17,51,15000,Sealed
0.57,46,68,15000,Quick
0.57,29,101,15000,Competetive
0.57,16,48,15000,Sealed
0.57,43,58,15000,Quick
0.57,33,116,15000,Competetive
0.57,22,66,15000,Sealed
0.57,48,71,15000,Quick
0.57,24,81,15000,Competetive
0.57,25,75,15000,Sealed
0.57,51,73,15000,Quick
0.57,16,45,15000,Competetive
0.57,32,96,15000,Sealed
0.57,53,72,15000,Quick
0.57,79,322,15000,Competetive
0.57,13,39,15000,Sealed
0.57,48,69,15000,Quick
0.57,54,212,15000,Competetive
0.57,16,48,15000,Sealed
0.57,43,59,15000,Quick
0.57,30,103,15000,Competetive
0.57,26,78,15000,Sealed
0.57,35,47,15000,Quick
0.57,26,91,15000,Competetive
0.57,21,63,15000,Sealed
